Account_id|Address_Id|Primary|
1-1PQX2|1-1PQX5|Y|
1-1PR1I|1-1PR1L|Y|
1-1PT2A|1-1PT2D|Y|
1-1PTYI|1-1PTYL|Y|
1-1PU0G|1-1PU0J|Y|
1-1PUKQ|1-1PUKT|Y|
1-1PVXW|1-1PVXZ|Y|
1-1PXTY|1-1PXU1|Y|
1-1PY52|1-1PY55|Y|
1-1PY52|1-1PY57|N|
1-1PVVY|1-1PVW1|Y|
1-1PW90|1-1PW93|Y|
1-1PHP4|1-1PHP7|Y|
1-1PHDQ|1-1PHDT|Y|
1-1PHG8|1-1PHGB|Y|
1-1PHL8|1-1PHLB|Y|
1-1PRA4|1-1PRA7|Y|
1-1PR40|1-1PR43|Y|
1-1PR40|1-1PR45|N|
1-1PR68|1-1PR6B|Y|
1-1PR86|1-1PR89|Y|
1-1PTAC|1-1PTAF|Y|
1-1PT48|1-1PT4B|Y|
1-1PT48|1-1PT4D|N|
1-1PT6G|1-1PT6J|Y|
1-1PT8E|1-1PT8H|Y|
1-1PWAY|1-1PWB1|Y|
1-1PWCW|1-1PWCZ|Y|
1-1PWCW|1-1PWD1|N|
1-1PWP4|1-1PWP7|Y|
1-1PWSG|1-1PWSJ|Y|
1-1PHU4|1-1PHU7|Y|
1-1PHRM|1-1PHRP|Y|
1-1PHWM|1-1PHWP|Y|
1-1PHZ4|1-1PHZ7|Y|
1-1PRFY|1-1PRG1|Y|
1-1PRC2|1-1PRC5|Y|
1-1PRE0|1-1PRE3|Y|
1-1PRM2|1-1PRM5|N|
1-1PRM2|1-1PRM7|Y|
1-1PU2E|1-1PU2H|Y|
1-1PTCU|1-1PTCX|Y|
1-1PTES|1-1PTEV|Y|
1-1PTRA|1-1PTRD|Y|
1-1PE1Q|1-1PE1T|Y|
1-1PDVC|1-1PDVF|Y|
1-1PEBQ|1-1PEBT|Y|
1-1PDXU|1-1PDXX|Y|
1-1PN26|1-1PN29|Y|
1-1PMWM|1-1PMWP|Y|
1-1PMYK|1-1PMYN|Y|
1-1PN0I|1-1PN0L|N|
1-1PU9C|1-1PU9F|Y|
1-1PN0I|1-3AUA4|Y|
1-1PIYE|1-1PIYH|Y|
1-1PJ0C|1-1PJ0F|Y|
1-1PJ48|1-1PJ4B|Y|
1-1PI1M|1-1PI1P|Y|
1-1PU4C|1-1PU4F|Y|
1-1PU4C|1-1PU4H|N|
1-1PU74|1-1PU77|N|
1-1PU74|1-1PU79|Y|
1-1PUBA|1-1PUBD|Y|
1-1PEE8|1-1PEEB|Y|
1-1PE48|1-1PE4B|Y|
1-1PE6Q|1-1PE6T|Y|
1-1PE98|1-1PE9B|Y|
1-1PIMQ|1-1PIMT|Y|
1-1PN44|1-1PN47|Y|
1-1POUM|1-1POUP|Y|
1-1POWK|1-1POWN|Y|
1-1PJ2A|1-1PJ2D|Y|
1-1PIKS|1-1PIKV|Y|
1-1PIOO|1-1PIOR|Y|
1-1PUIS|1-1PUIV|Y|
1-1PUD8|1-1PUDB|Y|
1-1PUF6|1-1PUF9|Y|
1-1PUGU|1-1PUGX|Y|
1-1PELQ|1-1PELT|Y|
1-1PEO8|1-1PEOB|Y|
1-1PEGQ|1-1PEGT|Y|
1-1PEJ8|1-1PEJB|Y|
1-1POYI|1-1POYL|Y|
1-1PP0G|1-1PP0J|Y|
1-1PP2E|1-1PP2H|Y|
1-1PI44|1-1PI47|Y|
1-1PIB2|1-1PIB5|Y|
1-1PJA2|1-1PJA5|Y|
1-1PJ66|1-1PJ69|Y|
1-1PJ84|1-1PJ87|Y|
1-1PJJS|1-1PJJV|N|
1-1PJJS|1-1PJJX|N|
1-1PJJS|1-1PJJZ|Y|
1-1PV2I|1-1PV2L|Y|
1-1PUOM|1-1PUOP|Y|
1-1PUQK|1-1PUQN|N|
1-1PUQK|1-41FTDA|Y|
1-1PUSI|1-1PUSL|Y|
1-1PF5Q|1-1PF5T|Y|
1-1PEQQ|1-1PEQT|Y|
1-1PET8|1-1PETB|Y|
1-1PEVQ|1-1PEVT|Y|
1-1PEY8|1-1PEYB|Y|
1-1PID0|1-1PID3|Y|
1-1PIEY|1-1PIF1|Y|
1-1PIGW|1-1PIGZ|Y|
1-1PIIU|1-1PIIX|Y|
1-1PJC0|1-1PJC3|Y|
1-1PJDY|1-1PJE1|Y|
1-1PJFW|1-1PJFZ|Y|
1-1PUMO|1-1PUMR|Y|
1-1PUYC|1-1PUYF|Y|
1-1PV0K|1-1PV0N|Y|
1-1PUUG|1-1PUUJ|Y|
1-1PARO|1-1PARR|Y|
1-1PLUU|1-1PLUX|Y|
1-1PLWS|1-1PLWV|Y|
1-1PM2M|1-1PM2P|Y|
1-1PBBO|1-1PBBR|Y|
1-1PAP6|1-1PAP9|Y|
1-1PAU6|1-1PAU9|Y|
1-1P69Q|1-1P69T|Y|
1-1PL5U|1-1PL5X|Y|
1-1P4IE|1-1P4IH|Y|
1-1P4KW|1-1P4KZ|Y|
1-1P4NE|1-1P4NH|Y|
1-1PL1Y|1-1PL21|Y|
1-1PL3W|1-1PL3Z|Y|
1-1PL7S|1-1PL7V|Y|
1-1PLFK|1-1PLFN|Y|
1-1PO7K|1-1PO7N|Y|
1-1PO9I|1-1PO9L|Y|
1-1POFM|1-1POFP|Y|
1-1PLHI|1-1PLHL|Y|
1-1PB46|1-1PB49|Y|
1-1PAWO|1-1PAWR|Y|
1-1PAZ6|1-1PAZ9|Y|
1-1PB1O|1-1PB1R|Y|
1-1P6M8|1-1P6MB|Y|
1-1P6C8|1-1P6CB|Y|
1-1P6H8|1-1P6HB|Y|
1-1P6JQ|1-1P6JT|Y|
1-1PP4C|1-1PP4F|Y|
1-1PL9Q|1-1PL9T|Y|
1-1PP88|1-1PP8B|Y|
1-1PNXK|1-1PNXN|Y|
1-1PBE6|1-1PBE9|Y|
